,year,eps_value,ticker
0,2021,$-1.29,PEG
1,2020,$3.76,PEG
2,2019,$3.33,PEG
3,2018,$2.83,PEG
4,2017,$3.10,PEG
5,2016,$1.75,PEG
6,2015,$3.30,PEG
7,2014,$2.99,PEG
8,2013,$2.45,PEG
9,2012,$2.51,PEG
10,2011,$2.96,PEG
11,2010,$3.08,PEG
12,2009,$3.14,PEG
0,2022,$2.65,PTC
1,2021,$4.03,PTC
2,2020,$1.12,PTC
3,2019,$-0.23,PTC
4,2018,$0.44,PTC
5,2017,$0.05,PTC
6,2016,$-0.48,PTC
7,2015,$0.41,PTC
8,2014,$1.34,PTC
9,2013,$1.19,PTC
10,2012,$-0.30,PTC
11,2011,$0.71,PTC
12,2010,$0.20,PTC
13,2009,$0.27,PTC
0,2021,$9.87,PSA
1,2020,$6.29,PSA
2,2019,$7.29,PSA
3,2018,$8.54,PSA
4,2017,$6.73,PSA
5,2016,$6.81,PSA
6,2015,$6.07,PSA
7,2014,$5.25,PSA
8,2013,$4.89,PSA
9,2012,$3.90,PSA
10,2011,$3.29,PSA
11,2010,$2.35,PSA
12,2009,$3.47,PSA
0,2021,$7.43,PHM
1,2020,$5.18,PHM
2,2019,$3.66,PHM
3,2018,$3.55,PHM
4,2017,$1.44,PHM
5,2016,$1.75,PHM
6,2015,$1.36,PHM
7,2014,$1.26,PHM
8,2013,$6.72,PHM
9,2012,$0.54,PHM
10,2011,$-0.55,PHM
11,2010,$-2.90,PHM
12,2009,$-3.94,PHM
0,2022,$9.26,QRVO
1,2021,$6.32,QRVO
2,2020,$2.80,QRVO
3,2019,$1.05,QRVO
4,2018,$-0.32,QRVO
5,2017,$-0.13,QRVO
6,2016,$-0.20,QRVO
7,2015,$2.11,QRVO
8,2014,$0.18,QRVO
9,2013,$-0.76,QRVO
0,2021,$3.34,PWR
1,2020,$3.07,PWR
2,2019,$2.73,PWR
3,2018,$1.90,PWR
4,2017,$2.00,PWR
5,2016,$1.26,PWR
6,2015,$1.59,PWR
7,2014,$1.35,PWR
8,2013,$1.87,PWR
9,2012,$1.44,PWR
10,2011,$0.62,PWR
11,2010,$0.72,PWR
12,2009,$0.81,PWR
0,2022,$11.37,QCOM
1,2021,$7.87,QCOM
2,2020,$4.52,QCOM
3,2019,$3.59,QCOM
4,2018,$-3.39,QCOM
5,2017,$1.64,QCOM
6,2016,$3.81,QCOM
7,2015,$3.22,QCOM
8,2014,$4.65,QCOM
9,2013,$3.91,QCOM
10,2012,$3.51,QCOM
11,2011,$2.52,QCOM
12,2010,$1.96,QCOM
13,2009,$0.95,QCOM
0,2021,$15.55,DGX
1,2020,$10.47,DGX
2,2019,$6.28,DGX
3,2018,$5.29,DGX
4,2017,$5.50,DGX
5,2016,$4.51,DGX
6,2015,$4.87,DGX
7,2014,$3.81,DGX
8,2013,$5.54,DGX
9,2012,$3.46,DGX
10,2011,$2.92,DGX
11,2010,$4.05,DGX
12,2009,$3.87,DGX
0,2022,$8.07,RL
1,2021,$-1.65,RL
2,2020,$4.98,RL
3,2019,$5.27,RL
4,2018,$1.97,RL
5,2017,$-1.20,RL
6,2016,$4.62,RL
7,2015,$7.88,RL
8,2014,$8.43,RL
9,2013,$8.00,RL
10,2012,$7.13,RL
11,2011,$5.75,RL
12,2010,$4.73,RL
13,2009,$4.01,RL
0,2022,$6.98,RJF
1,2021,$6.63,RJF
2,2020,$3.88,RJF
3,2019,$4.78,RJF
4,2018,$3.83,RJF
5,2017,$2.89,RJF
