,Total_value_todate,Return_without_trailing,Return_trailing_12m
2020-09-25,13638.166999309457,136.38166999309456,94.55184490161183
2020-09-30,14198.533550182881,141.9853355018288,98.95711164883849
2020-10-01,14387.743323332144,143.87743323332145,98.27870099189126
2020-10-02,14066.145977080545,140.66145977080544,99.5271170988232
2020-10-07,14479.526017255803,144.79526017255805,105.2007320171181
2020-10-08,14665.864913620066,146.65864913620067,104.91415887516891
2020-10-09,14745.178379897245,147.45178379897243,106.69087081719752
2020-10-14,15188.600189435876,151.88600189435877,107.06028708471945
2020-10-15,14828.031633057679,148.2803163305768,107.76509703472514
2020-10-16,15181.666698282914,151.81666698282913,109.27652865076858
2020-10-21,15033.542431247479,150.3354243124748,107.36744342340879
2020-10-22,14880.404060232211,148.80404060232212,109.56844193934958
2020-10-23,14968.676457116546,149.68676457116544,109.75577918846761
2020-10-28,14464.984784783033,144.64984784783033,101.87661094477409
2020-10-29,14305.156995657167,143.05156995657165,99.42599526681124
2020-10-30,14277.415973045936,142.77415973045936,101.50197499947488
2020-11-04,14874.214203859017,148.74214203859017,102.72583637152796
2020-11-05,15323.453914748261,153.23453914748262,104.48380647852208
2020-11-06,15460.976728978907,154.6097672897891,104.8544570342909
2020-11-11,15345.755280809462,153.45755280809465,101.03469108024117
2020-11-12,15507.657706260597,155.076577062606,104.58338699310403
2020-11-13,15489.88875635913,154.8988875635913,102.03022543046
2020-11-18,15403.223343978252,154.03223343978252,102.45904060484364
2020-11-19,15254.322343249118,152.54322343249117,102.5128234522623
2020-11-20,15429.07374280695,154.2907374280695,103.07573810556589
2020-11-25,15543.698995304274,155.43698995304274,107.45741683500445
2020-11-27,15551.519576764851,155.51519576764852,108.71268019977734
2020-12-02,15698.4492262727,156.984492262727,109.95301429831214
2020-12-03,15663.827828338204,156.63827828338205,105.30860732309695
2020-12-04,15691.205358507352,156.91205358507352,102.3999252766711
2020-12-09,15995.16259812984,159.9516259812984,103.45505900768673
2020-12-10,15743.722568008268,157.4372256800827,102.59333789648322
2020-12-11,15735.989000487789,157.35989000487788,101.47237770237223
2020-12-16,16029.991265186436,160.29991265186436,103.48680689269362
2020-12-17,16090.700336274089,160.90700336274088,104.46320212947246
2020-12-18,16183.04065210424,161.83040652104242,106.08823052219118
2020-12-23,16197.120476445736,161.97120476445735,104.97791861288401
2020-12-24,16199.319111996914,161.99319111996914,104.21791567689714
2020-12-30,16206.870803223146,162.06870803223146,104.21406553374655
2020-12-31,16252.814836354475,162.52814836354474,103.53133995652257
2021-01-06,16153.715624222099,161.537156242221,103.12751009046215
2021-01-07,16478.106536191022,164.7810653619102,105.01491861016932
2021-01-08,16811.45298191567,168.1145298191567,105.10335783570758
2021-01-13,16814.506301008078,168.14506301008078,106.8013376656908
2021-01-14,16865.929103542643,168.65929103542643,107.18061065637391
2021-01-15,16660.676319162005,166.60676319162005,103.9344067226367
2021-01-21,17023.904312044917,170.23904312044917,105.79964797223312
2021-01-22,16851.235060238556,168.51235060238557,104.12897935869321
2021-01-27,16256.272364588718,162.56272364588716,100.36520002570211
2021-01-28,16144.943464760996,161.44943464760996,99.66433374847435
2021-01-29,16232.902785295033,162.32902785295033,100.16062312329109
2021-02-03,16678.368316507138,166.78368316507138,102.61833709691186
2021-02-04,16585.171982024603,165.85171982024602,102.67094189249899
2021-02-05,16801.671542266966,168.01671542266965,101.96360549900132
2021-02-10,17161.513139880928,171.6151313988093,102.08227187942542
2021-02-11,17126.841224371427,171.26841224371427,101.85753252442878
2021-02-12,17213.474368406412,172.13474368406412,102.06063515819457
2021-02-18,17224.991023976334,172.24991023976335,103.38710562526981
2021-02-19,17348.93228952885,173.4893228952885,101.9092446217168
2021-02-24,17018.722737779713,170.18722737779714,100.9939192999352
2021-02-25,17268.834219378015,172.68834219378016,106.22874563171676
2021-02-26,16906.583144682918,169.06583144682918,104.71751221417607
2021-03-02,17402.4190292495,174.024190292495,107.20460326426584
2021-03-03,17158.942458347217,171.58942458347218,102.8814218076983
2021-03-04,16850.32482225293,168.5032482225293,101.59873434243374
2021-03-05,16754.689958856514,167.54689958856514,99.72037553946782
2021-03-09,16974.308995805048,169.74308995805046,98.9091629476375
2021-03-10,17063.72136185905,170.6372136185905,99.63145648584307
2021-03-11,17263.01884447071,172.6301884447071,100.28782380014596
2021-03-12,17341.91095371804,173.41910953718042,100.67878078762979
2021-03-16,17764.631803169614,177.64631803169613,102.39611007008
2021-03-17,17481.522644488323,174.81522644488322,102.71935746201002
2021-03-18,17658.693901982435,176.58693901982434,102.25759120535736
2021-03-19,17392.557240587208,173.9255724058721,102.87446666038565
2021-03-23,17132.65019291758,171.3265019291758,98.44981990217279
2021-03-24,17042.277981763422,170.42277981763422,99.3200951814659
2021-03-25,16854.29077281896,168.54290772818962,100.02353634489462
2021-03-26,17337.351102438177,173.37351102438177,103.47760027199828
2021-03-30,17355.324576292547,173.55324576292548,102.24466033098409
2021-03-31,17481.54930954154,174.8154930954154,102.4486332073871
2021-04-01,17497.41036901917,174.9741036901917,101.35776671890464
2021-04-06,17727.340210260652,177.27340210260652,102.22253047874159
2021-04-07,17792.90687080622,177.92906870806218,100.15916495174169
2021-04-08,17705.917554482065,177.05917554482065,101.28361192876119
2021-04-09,17726.36964292337,177.26369642923373,100.38324318500894
2021-04-13,17830.63095064221,178.3063095064221,102.51874237925587
2021-04-14,17805.80053891061,178.05800538910609,103.92904972910321
2021-04-15,17951.319168333746,179.51319168333745,105.33403567024942
2021-04-16,18071.207351426885,180.71207351426887,107.22021825190329
2021-04-20,17847.11723139465,178.4711723139465,102.94027689665226
2021-04-21,17643.891452578187,176.43891452578185,101.66269939243789
2021-04-22,17977.71303165753,179.77713031657532,102.83821366934099
2021-04-23,17898.599453892926,178.98599453892928,102.29284834962836
2021-04-27,18209.580164557505,182.09580164557505,102.72031759179379
2021-04-28,18286.217496417245,182.86217496417245,102.77251282880835
2021-04-29,18387.087002965243,183.87087002965242,103.84712877142448
2021-04-30,18319.823413442475,183.19823413442475,103.34785848695205
2021-05-04,18313.577232194224,183.13577232194226,102.70852042694887
2021-05-05,18404.683846715558,184.04683846715557,103.3634169185273
2021-05-06,18299.27401164399,182.99274011643988,101.93832464370662
2021-05-07,18411.35498844189,184.11354988441892,101.88226293019733
2021-05-11,18183.481672880906,181.83481672880905,101.88469900838977
2021-05-12,18149.81733399278,181.4981733399278,102.86742798647555
2021-05-13,17789.941206713767,177.89941206713766,98.95552996861664
2021-05-14,18170.79858403543,181.7079858403543,101.52078452196048
2021-05-18,18372.670029896035,183.72670029896034,100.89562671881893
2021-05-19,17927.416793874763,179.27416793874764,98.03786265468635
2021-05-20,18016.82928964456,180.1682928964456,97.98631662937706
2021-05-21,18170.135943637015,181.70135943637015,99.1829207824371
2021-05-26,18136.87409840587,181.36874098405872,99.03512497013571
2021-05-27,18336.05088614768,183.3605088614768,99.62708970640577
2021-05-28,18405.768467685244,184.05768467685243,100.58196000548159
2021-06-01,18544.73457020423,185.4473457020423,100.724441964462
2021-06-02,18631.55820055537,186.3155820055537,102.46419544801878
2021-06-03,18499.611409352365,184.99611409352366,101.9272594810332
2021-06-04,18678.6349823344,186.78634982334398,104.99548461287351
2021-06-08,18734.785403393886,187.34785403393886,103.10380865623576
2021-06-09,18746.033664332877,187.4603366433288,102.0321686169147
2021-06-10,18697.52484741748,186.9752484741748,104.29570005761141
2021-06-11,18573.7241094254,185.737241094254,103.09097017476279
2021-06-15,18462.72505669714,184.6272505669714,101.61027476056164
2021-06-16,18457.818044044547,184.57818044044546,101.76956593455586
2021-06-17,18397.187949031795,183.97187949031795,100.33342546475097
2021-06-18,17743.65528259856,177.43655282598561,96.40268654770297
2021-06-22,18023.64952386864,180.23649523868642,97.19011860556465
2021-06-23,18074.72539759859,180.74725397598593,97.01134603470696
2021-06-24,18139.768519836045,181.39768519836045,98.05486244249215
2021-06-25,18202.367229354437,182.02367229354437,97.45020043793136
2021-06-29,18196.505354168134,181.96505354168133,97.12684166038945
2021-06-30,18152.096363142835,181.52096363142834,96.83166417053813
2021-07-01,18188.130076096484,181.88130076096485,97.27560318556627
2021-07-02,18352.205970933468,183.52205970933468,98.80735744115248
2021-07-06,18407.44865081047,184.0744865081047,99.70060537804186
2021-07-07,18332.915504424174,183.32915504424173,99.32330820835742
2021-07-08,17984.40034186204,179.84400341862042,97.75624618113727
2021-07-09,18315.67162976796,183.1567162976796,103.22377964438016
2021-07-13,18542.726934293416,185.42726934293415,102.87997949437136
2021-07-14,18466.102354884664,184.66102354884663,102.16532726598476
2021-07-15,18173.697700839664,181.73697700839665,100.18704307591642
2021-07-16,18274.193359194403,182.74193359194405,100.39459774069459
2021-07-20,17831.022855910676,178.31022855910678,97.99146874004717
